ModelProfil
Date,P
2014-01-04 15:00:00,0.843039
2014-01-04 16:00:00,8.992630
2014-01-04 17:00:00,9.322361
2014-01-04 18:00:00,6.166685
2014-01-04 19:00:00,7.346464
2014-01-04 20:00:00,1.835495
2014-01-04 21:00:00,7.468852
2014-01-04 22:00:00,8.840649
2014-01-04 23:00:00,7.682843
2014-01-05 00:00:00,0.924200
2014-01-05 01:00:00,6.908820
2014-01-05 02:00:00,8.243839
2014-01-05 03:00:00,3.761091
2014-01-05 04:00:00,8.774498
2014-01-05 05:00:00,3.807812
2014-01-05 06:00:00,3.895563
2014-01-05 07:00:00,0.647868
2014-01-05 08:00:00,3.104203
2014-01-05 09:00:00,0.007294
2014-01-05 10:00:00,7.024440
2014-01-05 11:00:00,2.616762
2014-01-05 12:00:00,5.252030
2014-01-05 13:00:00,7.526489
2014-01-05 14:00:00,2.614899
2014-01-05 15:00:00,3.634834
2014-01-05 16:00:00,9.293699
2014-01-05 17:00:00,0.240516
2014-01-05 18:00:00,7.003388
2014-01-05 19:00:00,0.381397
2014-01-05 20:00:00,5.629936
2014-01-05 21:00:00,1.618655
2014-01-05 22:00:00,9.218844
2014-01-05 23:00:00,2.671401
2014-01-06 00:00:00,8.601371
2014-01-06 01:00:00,9.282124
2014-01-06 02:00:00,9.408152
2014-01-06 03:00:00,7.059113
2014-01-06 04:00:00,9.811158
2014-01-06 05:00:00,8.444728
2014-01-06 06:00:00,9.016151
2014-01-06 07:00:00,5.112859
2014-01-06 08:00:00,2.265698
2014-01-06 09:00:00,6.333854
2014-01-06 10:00:00,9.175373
2014-01-06 11:00:00,3.826088
2014-01-06 12:00:00,9.009223
2014-01-06 13:00:00,1.394371
2014-01-06 14:00:00,1.262169
2014-01-06 15:00:00,7.919030
2014-01-06 16:00:00,0.781636
2014-01-06 17:00:00,0.975440
2014-01-06 18:00:00,3.336133
2014-01-06 19:00:00,5.802995
2014-01-06 20:00:00,9.164111
2014-01-06 21:00:00,7.747439
2014-01-06 22:00:00,0.234898
2014-01-06 23:00:00,4.645170
2014-01-07 00:00:00,5.694098
2014-01-07 01:00:00,5.230868
2014-01-07 02:00:00,6.990887
2014-01-07 03:00:00,5.232112
2014-01-07 04:00:00,5.434181
2014-01-07 05:00:00,5.678027
2014-01-07 06:00:00,4.453500
2014-01-07 07:00:00,3.961859
2014-01-07 08:00:00,0.802466
2014-01-07 09:00:00,9.181564
2014-01-07 10:00:00,6.058291
2014-01-07 11:00:00,2.293010
2014-01-07 12:00:00,7.990309
2014-01-07 13:00:00,2.139286
2014-01-07 14:00:00,8.699129
2014-01-07 15:00:00,8.635034
2014-01-07 16:00:00,0.987339
2014-01-07 17:00:00,6.183822
2014-01-07 18:00:00,9.379519
2014-01-07 19:00:00,1.875000
2014-01-07 20:00:00,4.552632
2014-01-07 21:00:00,2.289477
2014-01-07 22:00:00,6.486061
2014-01-07 23:00:00,1.427237
